journal,database,category,publisher,cas,is_top
Cooperation and Conflict,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,2,0
CORNELL INTERNATIONAL LAW JOURNAL,SSCI;,Social Sciences,CORNELL INT LAW JOURNAL,4,0
CORNELL LAW REVIEW,SSCI;,Social Sciences,CORNELL LAW REVIEW,3,0
Corvinus Journal of Sociology and Social Policy,ESCI;,Social Sciences,"CORVINUS UNIV BUDAPEST, DOCTORAL SCH SOCIOLOGY",4,0
Cosmopolitan Civil Societies-An Interdisciplinary Journal,ESCI;,Social Sciences,"UNIV TECHNOLOGY, SYDNEY-UTS EPRESS",4,0
Costume-The Journal of the Costume Society,AHCI,Social Sciences,EDINBURGH UNIV PRESS,3,0
Couple and Family Psychology-Research and Practice,ESCI;,Social Sciences,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,4,0
Creative Industries Journal,ESCI;,Social Sciences,TAYLOR & FRANCIS LTD,4,0
CRIME & DELINQUENCY,SSCI;,Social Sciences,SAGE PUBLICATIONS INC,3,0
Crime and Justice-A Review of Research,SSCI;,Social Sciences,UNIV CHICAGO PRESS,2,0
CRIME LAW AND SOCIAL CHANGE,SSCI;,Social Sciences,SPRINGER,4,0
Crime Media Culture,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,2,0
Crime Prevention & Community Safety,ESCI;,Social Sciences,PALGRAVE MACMILLAN LTD,4,0
Du Bois Review-Social Science Research on Race,SSCI;,Social Sciences,CAMBRIDGE UNIV PRESS,3,0
Criminal Law and Philosophy,ESCI;,Social Sciences,SPRINGER,3,0
Criminal Law Forum,ESCI;,Social Sciences,SPRINGER,4,0
CRIMINAL LAW JOURNAL,ESCI;,Social Sciences,LAWBOOK CO LTD,4,0
Criminologie,ESCI;,Social Sciences,PRESSES UNIV MONTREAL,4,0
CRIMINOLOGY,SSCI;,Social Sciences,WILEY,1,1
Criminology & Criminal Justice,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,3,0
Criminology & Public Policy,SSCI;,Social Sciences,WILEY,1,1
Critical African Studies,ESCI;,Social Sciences,TAYLOR & FRANCIS LTD,2,0
Critical and Radical Social Work,ESCI;,Social Sciences,POLICY PRESS,3,0
Critical Arts-South-North Cultural and Media Studies,SSCI;AHCI,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,0
CRITICAL ASIAN STUDIES,SSCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Critical Criminology,SSCI;,Social Sciences,SPRINGER,3,0
Critical Horizons,ESCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
CRITICAL INQUIRY,SSCI;AHCI,Social Sciences,UNIV CHICAGO PRESS,2,0
Critical Policy Studies,SSCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
CRITICAL REVIEW,SSCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,0
Critical Review of International Social and Political Philosophy,ESCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
CRITICAL SOCIAL POLICY,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,2,0
Critical Sociology,SSCI;,Social Sciences,SAGE PUBLICATIONS INC,3,0
Critical Studies in Fashion & Beauty,ESCI;,Social Sciences,INTELLECT LTD,3,0
Critical Studies in Mens Fashion,ESCI;,Social Sciences,INTELLECT LTD,4,0
Critical Studies on Security,ESCI;,Social Sciences,TAYLOR & FRANCIS LTD,3,0
Critical Studies on Terrorism,ESCI;,Social Sciences,TAYLOR & FRANCIS LTD,2,0
CRITIQUE OF ANTHROPOLOGY,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,3,0
Croatian International Relations Review,ESCI;,Social Sciences,INST DEVELOPMENT INT RELATIONS,Î´ÆÀ¼¶,0
Croatian Yearbook of European Law & Policy,ESCI;,Social Sciences,"UNIV ZAGREB, FAC LAW",4,0
CROSS-CULTURAL RESEARCH,SSCI;,Social Sciences,SAGE PUBLICATIONS INC,3,0
CR-THE NEW CENTENNIAL REVIEW,AHCI,Social Sciences,MICHIGAN STATE UNIV PRESS,4,0
Cuadernos de Antropologia,ESCI;,Social Sciences,"UNIV COSTA RICA, FAC CIENCIAS SOCIALES",4,0
Cuadernos de Ilustracion y Romanticismo,ESCI;,Social Sciences,"UNIV CADIZ, SERV PUBLICACIONES",4,0
Cuadernos de Musica Artes Visuales y Artes Escenicas,ESCI;,Social Sciences,"PONTIFICIA UNIV JAVERIANA, FAC ARTES",3,0
Cuadernos de Trabajo Social,ESCI;,Social Sciences,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",4,0
Cuadernos del CIMBAGE,ESCI;,Social Sciences,"UNIV BUENOS AIRES, CENT INVEST & METODOLOGIA BORRASA APL GESTION & ECON",4,0
Cuadernos Electronicos de Filosofia del Derecho,ESCI;,Social Sciences,"UNIV VALENCIA, SERVICIO PUBLICACIONS",4,0
Cuadernos Europeos de Deusto,ESCI;,Social Sciences,UNIV DEUSTO,4,0
Cuadernos Geograficos,ESCI;,Social Sciences,UNIV GRANADA,4,0
Cuadernos Inter c a mbio sobre Centroamerica y el Caribe,ESCI;,Social Sciences,"UNIV COSTA RICA, CENTRO INVESTIGACION & IDENTIDAD & CULTURA LATINOAMERICANA",4,0
Cuestiones de Sociologia,ESCI;,Social Sciences,"UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC",4,0
CUHSO-Cultura-Hombre-Sociedad,ESCI;,Social Sciences,UNIV CATOLICA TEMUCO,4,0
Cultura de los Cuidados,ESCI;,Social Sciences,UNIV ALICANTE,4,0
Cultura Lenguaje y Representacion-Revista de Estudios Culturales de la Universitat Jaume I,ESCI;,Social Sciences,"UNIV JAUME I, SERVEI COMUNICACIO PUBLICACIONS",4,0
Cultura y Droga,ESCI;,Social Sciences,UNIV CALDAS,4,0
CULTURAL ANTHROPOLOGY,SSCI;,Social Sciences,SOC CULTURAL ANTHROPOLOGY,1,1
CULTURAL CRITIQUE,SSCI;AHCI,Social Sciences,UNIV MINNESOTA PRESS,4,0
CULTURAL DYNAMICS,ESCI;,Social Sciences,SAGE PUBLICATIONS LTD,4,0
CULTURAL GEOGRAPHIES,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,3,0
Cultural Sociology,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,2,0
CULTURAL STUDIES,SSCI;AHCI,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Cultural Studies-Critical Methodologies,SSCI;AHCI,Social Sciences,SAGE PUBLICATIONS INC,4,0
Cultural Trends,SSCI;AHCI,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Culturales,ESCI;,Social Sciences,"UNIV AUTONOMA BAJA CALIFORNIA, INST INVESTIGACIONES CULTURALES-MUSEO",4,0
Cultura-Rivista di Filosofia Letteratura Storia,ESCI;,Social Sciences,SOC ED IL MULINO,4,0
Culture et Musees,AHCI,Social Sciences,ACTES SUD,4,0
Culture Theory and Critique,ESCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,0
Curator-The Museum Journal,AHCI,Social Sciences,WILEY,2,0
CURRENT ANTHROPOLOGY,SSCI;,Social Sciences,UNIV CHICAGO PRESS,2,0
Current Issues in Criminal Justice,ESCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Current Legal Problems,SSCI;,Social Sciences,OXFORD UNIV PRESS,3,0
CURRENT SOCIOLOGY,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,3,0
CyberGeo-European Journal of Geography,ESCI;,Social Sciences,CYBERGEO,4,0
Czech Journal of International Relations,ESCI;,Social Sciences,"INST INT RELATIONS, PRAGUE",4,0
DADOS-REVISTA DE CIENCIAS SOCIAIS,SSCI;,Social Sciences,INST UNIV PESQUISAS RIO DE JANEIRO-IUPERJ,4,0
DAEDALUS,SSCI;AHCI,Social Sciences,MIT PRESS,3,0
De Jure Law Journal,ESCI;,Social Sciences,PRETORIA UNIV LAW PRESS,4,0
Debates en Sociologia,ESCI;,Social Sciences,PONTIFICIA UNIV CATOLICA PERU,4,0
Debats-Revista de Cultura Poder i Societat,ESCI;,Social Sciences,"INST ALFONS MAGNANIM, CENTRE VALENCIA ESTUDIS INVESTIGACIO",4,0
Decisions in Economics and Finance,ESCI;,Social Sciences,SPRINGER INT PUBL AG,4,0
Defence and Security Analysis,ESCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,0
DEGRES-REVUE DE SYNTHESE A ORIENTATION SEMIOLOGIQUE,AHCI,Social Sciences,DEGRES,4,0
Dementia-International Journal of Social Research and Practice,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,3,0
Democracy & Security,ESCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,0
Democratic Theory-An Interdisciplinary Journal,ESCI;,Social Sciences,BERGHAHN JOURNALS,4,0
Democratization,SSCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1,1
Demografie,ESCI;,Social Sciences,CESKY STATISTICAL OFFICE,4,0
Demographic Research,SSCI;,Social Sciences,MAX PLANCK INST DEMOGRAPHIC RESEARCH,3,0
DEMOGRAPHY,SSCI;,Social Sciences,DUKE UNIV PRESS,1,1
Denver Law Review,SSCI;,Social Sciences,"UNIV DENVER, STURM COLLEGE LAW",4,0
Departures in Critical Qualitative Research,ESCI;,Social Sciences,"UNIV CALIFORNIA PRESS, JOURNALS DIV",4,0
Derecho Penal y Criminologia,ESCI;,Social Sciences,UNIV EXTERNADO COLOMBIA,4,0
Derecho PUCP,ESCI;,Social Sciences,"PONTIFICIA UNIV CATOLICA PERU, FAC DERECHO",4,0
Derecho y Ciencias Sociales,ESCI;,Social Sciences,"UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC",4,0
Derechos y Libertades,ESCI;,Social Sciences,"UNIV CARLOS III MADRID, INST DERECHO & ECONOMIA",4,0
Desafios,ESCI;,Social Sciences,"UNIV ROSARIO, CENTRO ESTUDIOS POLITICOS & INT",4,0
Desenvolvimento e Meio Ambiente,ESCI;,Social Sciences,"UNIV FEDERAL PARANA, EDITORA",4,0
DEVELOPMENT AND CHANGE,SSCI;,Social Sciences,WILEY,2,0
Developpement Durable & Territoires,ESCI;,Social Sciences,RESEAU DEVELOPPEMENT DURABLE & TERRITOIRES FRAGILES,4,0
Deviance et Societe,SSCI;,Social Sciences,MEDECINE ET HYGIENE,4,0
DEVIANT BEHAVIOR,SSCI;,Social Sciences,TAYLOR & FRANCIS INC,3,0
DIALECTICAL ANTHROPOLOGY,ESCI;,Social Sciences,SPRINGER,4,0
Dialogo,ESCI;,Social Sciences,CENTRO UNIV LA SALLE,4,0
Dialogues in Human Geography,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,1,1
Diaspora Studies,ESCI;,Social Sciences,BRILL,4,0
Differences-A Journal of Feminist Cultural Studies,SSCI;AHCI,Social Sciences,DUKE UNIV PRESS,4,0
Digest of Middle East Studies,ESCI;,Social Sciences,WILEY,4,0
Digital Humanities Quarterly,ESCI;,Social Sciences,ALLIANCE DIGITAL HUMANITIES ORGANIZATIONS,4,0
digitAR-Revista Digital de Arqueologia Arquitectura e Artes-Digital Journal of Archaeology Architecture and Arts,ESCI;,Social Sciences,COIMBRA UNIV PRESS,4,0
Digithum,ESCI;,Social Sciences,UNIV OBERTA CATALUNYA,4,0
Diplomacy & Statecraft,SSCI;,Social Sciences,TAYLOR & FRANCIS INC,4,0
Diplomatica,ESCI;,Social Sciences,BRILL,4,0
Dirasat Hispanicas-Revista Tunecina de Estudios Hispanicos,ESCI;,Social Sciences,"UNIV TUNIS MANAR, INST SUPERIEUR SCIENCES HUMAINES TUNIS",4,0
Direito e Praxis,ESCI;,Social Sciences,"UNIV ESTADO RIO DE JANEIRO, FAC DIREITO",4,0
Diritti Umani e Diritto Internazionale,ESCI;,Social Sciences,SOC ED IL MULINO,4,0
DISABILITY & SOCIETY,SSCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Discourse-Journal for Theoretical Studies in Media and Culture,ESCI;,Social Sciences,WAYNE STATE UNIV PRESS,4,0
Disparidades-Revista de Antropologia,AHCI,Social Sciences,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,4,0
DISSENT,SSCI;,Social Sciences,"FOUNDATION STUDY INDEPENDENT SOCIAL IDEAS, INC",4,0
Distinktion-Journal of Social Theory,ESCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Dixi,ESCI;,Social Sciences,UNIV COOPERATIVA COLOMBIA,4,0
Dix-Neuf,AHCI,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
dObras,ESCI;,Social Sciences,ASSOC BRASILEIRA ESTUDOS & PESQUISAS MODA,4,0
Documenti Geografici,ESCI;,Social Sciences,"UNIV STUDI ROMA TOR VERGATA, FAC LETTERE & FILOSOFIA",4,0
Documents d Analisi Geografica,ESCI;,Social Sciences,UNIV AUTONOMA BARCELONA,4,0
Dress-The Journal of the Costume Society of America,AHCI,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Droit et Cultures,ESCI;,Social Sciences,EDITIONS L HARMATTAN,4,0
DRUGS-EDUCATION PREVENTION AND POLICY,SSCI;,Social Sciences,TAYLOR & FRANCIS LTD,4,0
DRUSTVENA ISTRAZIVANJA,SSCI;,Social Sciences,INST OF SOCIAL SCIENCES IVO PILAR,4,0
East Asian Science Technology and Society-An International Journal,SSCI;AHCI,Social Sciences,TAYLOR & FRANCIS INC,4,0
DUKE LAW JOURNAL,SSCI;,Social Sciences,DUKE UNIV,2,0
Early China,AHCI,Social Sciences,CAMBRIDGE UNIV PRESS,4,0
Early Medieval China,AHCI,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Early Modern Women-An Interdisciplinary Journal,AHCI,Social Sciences,UNIV CHICAGO PRESS,4,0
Early Popular Visual Culture,AHCI,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Earth System Governance,ESCI;,Social Sciences,ELSEVIER,1,1
East Asia,ESCI;,Social Sciences,SPRINGERNATURE,3,0
East Asian Policy,ESCI;,Social Sciences,WORLD SCIENTIFIC PUBL CO PTE LTD,4,0
East Asian Publishing and Society,ESCI;,Social Sciences,BRILL,3,0
Engaging Science Technology and Society,ESCI;,Social Sciences,SOC SOCIAL STUDIES SCIENCE,4,0
East European Politics,SSCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2,0
EAST EUROPEAN POLITICS AND SOCIETIES,SSCI;,Social Sciences,SAGE PUBLICATIONS INC,4,0
Eastern European Countryside,SSCI;,Social Sciences,SCIENDO,4,0
Eastern Journal of European Studies,ESCI;,Social Sciences,"UNIV ALEXANDRU IOAN CUZA, CENTRUL STUDII EUROPENE",4,0
EC Tax Review,ESCI;,Social Sciences,KLUWER LAW INT,4,0
ECOLOGY AND SOCIETY,SSCI;SCIE;,Social Sciences,Resilience Alliance,3,0
ECOLOGY LAW QUARTERLY,SSCI;,Social Sciences,"UNIV CALIFORNIA, BERKELEY SCH LAW",4,0
Economia Sociedad y Territorio,ESCI;,Social Sciences,COLEGIO MEXIQUENSE AC,4,0
Economic and Political Studies-EPS,ESCI;,Social Sciences,TAYLOR & FRANCIS LTD,3,0
Economic Anthropology,SSCI;,Social Sciences,WILEY,3,0
ECONOMY AND SOCIETY,SSCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2,0
Economy of Region,ESCI;,Social Sciences,"RUSSIAN ACAD SCIENCES, URAL BRANCH, INST ECONOMICS",4,0
Ecosystems and People,ESCI;,Social Sciences,TAYLOR & FRANCIS LTD,2,0
Edinburgh Law Review,ESCI;,Social Sciences,EDINBURGH UNIV PRESS,4,0
EIGHTEENTH-CENTURY STUDIES,AHCI,Social Sciences,JOHNS HOPKINS UNIV PRESS,3,0
EIRE-IRELAND,AHCI,Social Sciences,IRISH AMER CULTURAL INST,4,0
EJournal of Tax Research,ESCI;,Social Sciences,"UNIV NEW SOUTH WALES, FAC LAW",4,0
Ekonomia i Srodowisko-Economics and Environment,ESCI;,Social Sciences,FUNDACJA EKONOMISTOW SRODOWISKA & ZASOBOW NATURALNYCH,4,0
E-Latina-Revista Electronica de Estudios Latinoamericanos,ESCI;,Social Sciences,"UNIV BUENOS AIRES, FAC CIENCIAS SOCIALES",4,0
Election Law Journal,ESCI;,Social Sciences,"MARY ANN LIEBERT, INC",3,0
ELECTORAL STUDIES,SSCI;,Social Sciences,ELSEVIER SCI LTD,2,0
Electronic Journal of Information Systems in Developing Countries,ESCI;,Social Sciences,WILEY,4,0
e-Legal History Review,ESCI;,Social Sciences,IUSTEL,4,0
Eleuthera,ESCI;,Social Sciences,UNIV CALDAS,4,0
Emotion Space and Society,SSCI;,Social Sciences,ELSEVIER SCI LTD,2,0
Emotions and Society,ESCI;,Social Sciences,BRISTOL UNIV PRESS & POLICY PRESS,3,0
Emotions-History Culture Society,ESCI;,Social Sciences,BRILL,3,0
Empiria,ESCI;,Social Sciences,"UNIV NACL EDUCACION & DISTANCIA-UNED, FAC CIENCIAS POLITICAS & SOCIOLOGIA",4,0
Encrucijada Americana,ESCI;,Social Sciences,UNIV ALBERTO HURTADO,4,0
Encrucijadas-Revista Critica de Ciencias Sociales,ESCI;,Social Sciences,ASOC CONTUBERNIO,4,0
European Political Science,SSCI;,Social Sciences,PALGRAVE MACMILLAN LTD,4,0
Entorno Geografico,ESCI;,Social Sciences,UNIV VALLE,4,0
Environment and Planning A-Economy and Space,SSCI;,Social Sciences,SAGE PUBLICATIONS INC,1,1
Environment and Planning C-Politics and Space,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,2,0
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,1,1
Environment and Planning E-Nature and Space,SSCI;,Social Sciences,SAGE PUBLICATIONS INC,2,0
Environment and Society-Advances in Research,ESCI;,Social Sciences,BERGHAHN JOURNALS,2,0
Environment and Urbanization ASIA,ESCI;,Social Sciences,SAGE PUBLICATIONS LTD,4,0
Environmental & Socio-Economic Studies,ESCI;,Social Sciences,SCIENDO,4,0
Environmental and Planning Law Journal,ESCI;,Social Sciences,LAWBOOK CO LTD,4,0
Environmental Communication-A Journal of Nature and Culture,SSCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Environmental Hazards-Human and Policy Dimensions,SSCI;,Social Sciences,TAYLOR & FRANCIS LTD,4,0
Environmental Humanities,ESCI;,Social Sciences,DUKE UNIV PRESS,2,0
Environmental Impact Assessment Review,SSCI;,Social Sciences,ELSEVIER SCIENCE INC,1,1
Environmental Justice,ESCI;,Social Sciences,"MARY ANN LIEBERT, INC",4,0
Environmental Policy and Governance,SSCI;,Social Sciences,"WILEY PERIODICALS, INC",3,0
ENVIRONMENTAL POLITICS,SSCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1,1
Environmental Sociology,ESCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Equidad & Desarrollo,ESCI;,Social Sciences,UNIV LA SALLE,4,0
Eras,ESCI;,Social Sciences,"MONASH UNIV, SCH HISTORICAL STUDIES",4,0
Erdkunde,SSCI;SCIE;,Social Sciences,"UNIV BONN, GEOGRAPHISCHES INST",4,0
Eria-Revista cuatrimestral de Geografia,ESCI;,Social Sciences,UNIV OVIEDO,4,0
e-rph-Revista electronica de Patrimonio Historico,ESCI;,Social Sciences,UNIV GRANADA,4,0
E-Scrita-Revista do Curso de Letras da UNIABEU,ESCI;,Social Sciences,CENTRO UNIV UNIABEU,4,0
Escritura e Imagen,ESCI;,Social Sciences,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",4,0
Espace Politique,ESCI;,Social Sciences,UNIV REIMS CHAMPAGNE-ARDENNES,4,0
Espaces-Populations-Societes,ESCI;,Social Sciences,UNIV LILLE I SCI & TECH,4,0
Espacio Abierto,ESCI;,Social Sciences,"UNIV ZULIA, CONSEJO DESARROLLO CIENTIFICO & HUMANISTICO",4,0
Estudios Avanzados,ESCI;,Social Sciences,"UNIV SANTIAGO CHILE, INST ESTUDIOS AVANZADOS",4,0
Estudios de Cultura Maya,ESCI;,Social Sciences,"UNIV NAC AUTONOMA MEXICO, INST INVESTIGACIONES FILOLOGICAS",4,0
Estudios de Derecho,ESCI;,Social Sciences,"UNIV ANTIOQUIA, FAC DERECHO & CIENCIAS POLITICAS",4,0
Estudios del Desarrollo Social-Cuba y America Latina,ESCI;,Social Sciences,UNIV HABANA,4,0
Estudios Demograficos y Urbanos,ESCI;,Social Sciences,"COLEGIO MEXICO, A C, DEPT PUBLICACIONES",4,0
Estudios Fronterizos,ESCI;,Social Sciences,UNIV AUTONOMA BAJA CALIFORNIA,4,0
Estudios Geograficos,ESCI;,Social Sciences,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,4,0
Estudios Irlandeses,ESCI;,Social Sciences,SPANISH ASSOC IRISH STUDIES,4,0
Estudios Socioterritoriales,ESCI;,Social Sciences,"UNIV NACL CENTRO PROVINCIA BUENOS AIRES, CENTRO INVESTIGACIONES GEOGRAFICA",4,0
Ethics and Social Welfare,ESCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,0
Ethics Policy & Environment,ESCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,0
ETHNIC AND RACIAL STUDIES,SSCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2,1
Ethnicities,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,2,0
Ethnobiology Letters,ESCI;,Social Sciences,SOC ETHNOBIOLOGY,4,0
Ethnography,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,4,0
Ethnologia Scandinavica,AHCI,Social Sciences,SWEDISH SCIENCE PRESS,4,0
Ethnologies,ESCI;,Social Sciences,FOLKLORE STUDIES ASSOC CANADA,4,0
Ethnopolitics,ESCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
ETHNOS,SSCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
ETHOS,SSCI;,Social Sciences,WILEY,4,0
Etnoantropoloski Problemi-Issues in Ethnology and Anthropology,ESCI;,Social Sciences,"UNIV BELGRADE, FAC PHILOSOPHY",4,0
Etnoloska Tribina,ESCI;,Social Sciences,CROATIAN ETHNOLOGICAL SOC,4,0
Etudes Episteme,ESCI;,Social Sciences,INST MONDE ANGLOPHONE,4,0
ETUDES INTERNATIONALES,ESCI;,Social Sciences,INST QUEBECOIS HAUTES ETUDES INT,4,0
Etudes Inuit Studies,ESCI;,Social Sciences,"UNIV LAVAL, FAC SCIENCES SOCIALES",4,0
Etudes Ricoeuriennes-Ricoeur Studies,ESCI;,Social Sciences,"UNIV PITTSBURGH, UNIV LIBRARY SYSTEM",4,0
EurAmerica,ESCI;,Social Sciences,INST EUROPEAN & AMER STUDIES,4,0
European Business Organization Law Review,SSCI;,Social Sciences,SPRINGER HEIDELBERG,3,0
European Comic Art,ESCI;,Social Sciences,BERGHAHN JOURNALS,3,0
European Company and Financial Law Review,ESCI;,Social Sciences,WALTER DE GRUYTER GMBH,4,0
European Company Law,ESCI;,Social Sciences,KLUWER LAW INT,4,0
European Constitutional Law Review,SSCI;,Social Sciences,CAMBRIDGE UNIV PRESS,2,0
European Countryside,ESCI;,Social Sciences,SCIENDO,4,0
European Integration Studies,ESCI;,Social Sciences,KAUNO TECHNOLOGIJOS UNIV,4,0
European Journal of Ageing,SSCI;,Social Sciences,SPRINGER,2,0
European Journal of American Studies,ESCI;,Social Sciences,EUROPEAN ASSOC AMER STUDIES,4,0
European Journal of Comparative Law and Governance,ESCI;,Social Sciences,BRILL,4,0
European Journal of Crime Criminal Law and Criminal Justice,ESCI;,Social Sciences,BRILL,4,0
European Journal of Criminology,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,3,0
European Journal of Cultural Management and Policy,ESCI;,Social Sciences,FRONTIERS MEDIA SA,4,0
European Journal of Cultural Studies,SSCI;AHCI,Social Sciences,SAGE PUBLICATIONS LTD,2,0
European Journal of Development Research,SSCI;,Social Sciences,PALGRAVE MACMILLAN LTD,3,0
European Journal of Futures Research,SSCI;,Social Sciences,SPRINGER,2,0
EUROPEAN JOURNAL OF HEALTH LAW,ESCI;,Social Sciences,BRILL,4,0
European Journal of International Law,SSCI;,Social Sciences,OXFORD UNIV PRESS,2,0
EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,1,1
European Journal of International Security,ESCI;,Social Sciences,CAMBRIDGE UNIV PRESS,1,1
European Journal of Korean Studies,ESCI;,Social Sciences,BRITISH ASSOC KOREAN STUDIES,4,0
European Journal of Law and Economics,SSCI;,Social Sciences,SPRINGER,4,0
European Journal of Legal Studies,ESCI;,Social Sciences,EUROPEAN UNIV INST,4,0
EUROPEAN JOURNAL OF MIGRATION AND LAW,SSCI;,Social Sciences,BRILL,2,0
EUROPEAN JOURNAL OF POLITICAL RESEARCH,SSCI;,Social Sciences,WILEY,1,1
European Journal of Political Theory,ESCI;,Social Sciences,SAGE PUBLICATIONS LTD,2,0
European Journal of Politics and Gender,ESCI;,Social Sciences,BRISTOL UNIV PRESS & POLICY PRESS,2,0
European Journal of Population-Revue Europeenne de Demographie,SSCI;,Social Sciences,SPRINGER,2,0
European Journal of Probation,ESCI;,Social Sciences,SAGE PUBLICATIONS LTD,4,0
European Journal of Psychology Applied to Legal Context,SSCI;,Social Sciences,COLEGIO OFICIAL PSICOLOGOS MADRID,1,1
European Journal of Risk Regulation,ESCI;,Social Sciences,CAMBRIDGE UNIV PRESS,4,0
European Journal of Social Theory,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,2,0
European Journal of Social Work,SSCI;,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
European Journal of Transformation Studies,ESCI;,Social Sciences,EUROPE OUR HOUSE,4,0
EUROPEAN JOURNAL OF WOMENS STUDIES,SSCI;,Social Sciences,SAGE PUBLICATIONS LTD,3,0
European Journal on Criminal Policy and Research,SSCI;,Social Sciences,SPRINGER,3,0
European Labour Law Journal,ESCI;,Social Sciences,SAGE PUBLICATIONS INC,4,0
European Law Journal,SSCI;,Social Sciences,WILEY,3,0
European Law Review,SSCI;,Social Sciences,SWEET MAXWELL LTD,4,0
European Legacy-Toward New Paradigms,AHCI,Social Sciences,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,0
European Policy Analysis,ESCI;,Social Sciences,WILEY,2,0
European Political Science Review,SSCI;,Social Sciences,CAMBRIDGE UNIV PRESS,1,1
Family & Consumer Sciences Research Journal,ESCI;,Social Sciences,WILEY,4,0
European Public Law,ESCI;,Social Sciences,KLUWER LAW INT,4,0
European Review,SSCI;,Social Sciences,CAMBRIDGE UNIV PRESS,4,0
European Review of International Studies,ESCI;,Social Sciences,BRILL,4,0
